concentration;id;start_date;start_hour;end_date;end_hour;emergence
1;2;10/01/2023;16:35;22/01/2023;11:30;0
1;3;10/01/2023;16:48;22/01/2023;11:30;8
1;4;10/01/2023;17:09;22/01/2023;11:30;7
1;5;10/01/2023;17:35;22/01/2023;11:30;5
1;6;10/01/2023;17:50;22/01/2023;11:30;2
1;7;10/01/2023;18:04;22/01/2023;11:30;2
1;8;10/01/2023;18:18;22/01/2023;11:30;2
1;9;10/01/2023;18:40;22/01/2023;11:30;9
1;10;10/01/2023;18:59;22/01/2023;11:30;0
0.5;1;10/01/2023;16:23;22/01/2023;11:30;6
0.5;2;10/01/2023;16:37;22/01/2023;11:30;7
0.5;3;10/01/2023;16:50;22/01/2023;11:30;7
0.5;4;10/01/2023;17:10;22/01/2023;11:30;6
0.5;5;10/01/2023;17:36;22/01/2023;11:30;7
0.5;6;10/01/2023;17:51;22/01/2023;11:30;4
0.5;7;10/01/2023;18:06;22/01/2023;11:30;8
0.5;8;10/01/2023;18:20;22/01/2023;11:30;4
0.5;9;10/01/2023;18:42;22/01/2023;11:30;5
0.5;10;10/01/2023;19:00;22/01/2023;11:30;6
0.1;1;10/01/2023;16:25;22/01/2023;11:30;0
0.1;2;10/01/2023;16:38;22/01/2023;11:30;1
0.1;3;10/01/2023;16:53;22/01/2023;11:30;1
0.1;4;10/01/2023;17:12;22/01/2023;11:30;4
0.1;5;10/01/2023;17:38;22/01/2023;11:30;2
0.1;6;10/01/2023;17:53;22/01/2023;11:30;0
0.1;7;10/01/2023;18:07;22/01/2023;11:30;0
0.1;8;10/01/2023;18:22;22/01/2023;11:30;0
0.1;9;10/01/2023;18:44;22/01/2023;11:30;0
0.1;10;10/01/2023;19:02;22/01/2023;11:30;1
0.02;1;10/01/2023;16:26;22/01/2023;11:30;0
0.02;2;10/01/2023;16:40;22/01/2023;11:30;1
0.02;3;10/01/2023;16:54;22/01/2023;11:30;0
0.02;4;10/01/2023;17:14;22/01/2023;11:30;0
0.02;5;10/01/2023;17:40;22/01/2023;11:30;0
0.02;6;10/01/2023;17:54;22/01/2023;11:30;0
0.02;7;10/01/2023;18:09;22/01/2023;11:30;0
0.02;8;10/01/2023;18:24;22/01/2023;11:30;0
0.02;9;10/01/2023;18:46;22/01/2023;11:30;1
0.02;10;10/01/2023;19:05;22/01/2023;11:30;1
0.004;1;10/01/2023;16:27;22/01/2023;11:30;3
0.004;2;10/01/2023;16:41;22/01/2023;11:30;1
0.004;3;10/01/2023;16:55;22/01/2023;11:30;0
0.004;4;10/01/2023;17:16;22/01/2023;11:30;0
0.004;5;10/01/2023;17:42;22/01/2023;11:30;0
0.004;6;10/01/2023;17:56;22/01/2023;11:30;0
0.004;7;10/01/2023;18:11;22/01/2023;11:30;0
0.004;8;10/01/2023;18:26;22/01/2023;11:30;0
0.004;9;10/01/2023;18:48;22/01/2023;11:30;0
0.004;10;10/01/2023;19:07;22/01/2023;11:30;1
0.0008;1;10/01/2023;16:29;22/01/2023;11:30;0
0.0008;2;10/01/2023;16:43;22/01/2023;11:30;0
0.0008;3;10/01/2023;16:57;22/01/2023;11:30;1
0.0008;4;10/01/2023;17:18;22/01/2023;11:30;0
0.0008;5;10/01/2023;17:44;22/01/2023;11:30;1
0.0008;6;10/01/2023;17:58;22/01/2023;11:30;1
0.0008;7;10/01/2023;18:12;22/01/2023;11:30;1
0.0008;8;10/01/2023;18:27;22/01/2023;11:30;0
0.0008;9;10/01/2023;18:51;22/01/2023;11:30;0
0.0008;10;10/01/2023;19:09;22/01/2023;11:30;2
0;1;10/01/2023;16:17;23/01/2023;14:45;0
0;2;10/01/2023;16:31;23/01/2023;14:45;0
0;3;10/01/2023;16:45;23/01/2023;14:45;0
0;4;10/01/2023;17:05;23/01/2023;14:45;0
0;5;10/01/2023;17:31;23/01/2023;14:45;1
0;6;10/01/2023;17:45;23/01/2023;14:45;0
0;7;10/01/2023;18:00;23/01/2023;14:45;0
0;8;10/01/2023;18:14;23/01/2023;14:45;1
0;9;10/01/2023;18:37;23/01/2023;14:45;1
0;10;10/01/2023;18:55;23/01/2023;14:45;1
2.5;1;10/01/2023;16:19;23/01/2023;14:45;0
2.5;2;10/01/2023;16:33;23/01/2023;14:45;0
2.5;3;10/01/2023;16:46;23/01/2023;14:45;0
2.5;4;10/01/2023;17:07;23/01/2023;14:45;0
2.5;5;10/01/2023;17:33;23/01/2023;14:45;0
2.5;6;10/01/2023;17:48;23/01/2023;14:45;0
2.5;7;10/01/2023;18:02;23/01/2023;14:45;5
2.5;8;10/01/2023;18:16;23/01/2023;14:45;1
2.5;9;10/01/2023;18:39;23/01/2023;14:45;5
2.5;10;10/01/2023;18:57;23/01/2023;14:45;0
1;1;10/01/2023;16:21;23/01/2023;14:45;0
1;2;10/01/2023;16:35;23/01/2023;14:45;0
1;3;10/01/2023;16:48;23/01/2023;14:45;4
1;4;10/01/2023;17:09;23/01/2023;14:45;1
1;5;10/01/2023;17:35;23/01/2023;14:45;0
1;6;10/01/2023;17:50;23/01/2023;14:45;2
1;7;10/01/2023;18:04;23/01/2023;14:45;4
1;8;10/01/2023;18:18;23/01/2023;14:45;0
1;9;10/01/2023;18:40;23/01/2023;14:45;2
1;10;10/01/2023;18:59;23/01/2023;14:45;3
0.5;1;10/01/2023;16:23;23/01/2023;14:45;1
0.5;2;10/01/2023;16:37;23/01/2023;14:45;0
0.5;3;10/01/2023;16:50;23/01/2023;14:45;1
0.5;4;10/01/2023;17:10;23/01/2023;14:45;0
0.5;5;10/01/2023;17:36;23/01/2023;14:45;0
0.5;6;10/01/2023;17:51;23/01/2023;14:45;1
0.5;7;10/01/2023;18:06;23/01/2023;14:45;1
0.5;8;10/01/2023;18:20;23/01/2023;14:45;1
0.5;9;10/01/2023;18:42;23/01/2023;14:45;0
0.5;10;10/01/2023;19:00;23/01/2023;14:45;0
0.1;1;10/01/2023;16:25;23/01/2023;14:45;0
0.1;2;10/01/2023;16:38;23/01/2023;14:45;0
0.1;3;10/01/2023;16:53;23/01/2023;14:45;0
0.1;4;10/01/2023;17:12;23/01/2023;14:45;0
0.1;5;10/01/2023;17:38;23/01/2023;14:45;0
0.1;6;10/01/2023;17:53;23/01/2023;14:45;1
0.1;7;10/01/2023;18:07;23/01/2023;14:45;1
0.1;8;10/01/2023;18:22;23/01/2023;14:45;1
0.1;9;10/01/2023;18:44;23/01/2023;14:45;0
0.1;10;10/01/2023;19:02;23/01/2023;14:45;0
0.02;1;10/01/2023;16:26;23/01/2023;14:45;0
0.02;2;10/01/2023;16:40;23/01/2023;14:45;0
0.02;3;10/01/2023;16:54;23/01/2023;14:45;0
0.02;4;10/01/2023;17:14;23/01/2023;14:45;0
0.02;5;10/01/2023;17:40;23/01/2023;14:45;0
0.02;6;10/01/2023;17:54;23/01/2023;14:45;1
0.02;7;10/01/2023;18:09;23/01/2023;14:45;0
0.02;8;10/01/2023;18:24;23/01/2023;14:45;0
0.02;9;10/01/2023;18:46;23/01/2023;14:45;0
0.02;10;10/01/2023;19:05;23/01/2023;14:45;0
0.004;1;10/01/2023;16:27;23/01/2023;14:45;0
0.004;2;10/01/2023;16:41;23/01/2023;14:45;0
0.004;3;10/01/2023;16:55;23/01/2023;14:45;0
0.004;4;10/01/2023;17:16;23/01/2023;14:45;0
0.004;5;10/01/2023;17:42;23/01/2023;14:45;0
0.004;6;10/01/2023;17:56;23/01/2023;14:45;0
0.004;7;10/01/2023;18:11;23/01/2023;14:45;0
0.004;8;10/01/2023;18:26;23/01/2023;14:45;0
0.004;9;10/01/2023;18:48;23/01/2023;14:45;1
0.004;10;10/01/2023;19:07;23/01/2023;14:45;0
0.0008;1;10/01/2023;16:29;23/01/2023;14:45;0
0.0008;2;10/01/2023;16:43;23/01/2023;14:45;0
0.0008;3;10/01/2023;16:57;23/01/2023;14:45;0
0.0008;4;10/01/2023;17:18;23/01/2023;14:45;0
0.0008;5;10/01/2023;17:44;23/01/2023;14:45;0
0.0008;6;10/01/2023;17:58;23/01/2023;14:45;0
0.0008;7;10/01/2023;18:12;23/01/2023;14:45;0
0.0008;8;10/01/2023;18:27;23/01/2023;14:45;0
0.0008;9;10/01/2023;18:51;23/01/2023;14:45;0
0.0008;10;10/01/2023;19:09;23/01/2023;14:45;0
0;1;10/01/2023;16:17;24/01/2023;17:30;0
0;2;10/01/2023;16:31;24/01/2023;17:30;0
0;3;10/01/2023;16:45;24/01/2023;17:30;0
0;4;10/01/2023;17:05;24/01/2023;17:30;0
0;5;10/01/2023;17:31;24/01/2023;17:30;0
0;6;10/01/2023;17:45;24/01/2023;17:30;0
0;7;10/01/2023;18:00;24/01/2023;17:30;0
0;8;10/01/2023;18:14;24/01/2023;17:30;0
0;9;10/01/2023;18:37;24/01/2023;17:30;0
0;10;10/01/2023;18:55;24/01/2023;17:30;0
2.5;1;10/01/2023;16:19;24/01/2023;17:30;0
2.5;2;10/01/2023;16:33;24/01/2023;17:30;0
2.5;3;10/01/2023;16:46;24/01/2023;17:30;0
2.5;4;10/01/2023;17:07;24/01/2023;17:30;1
2.5;5;10/01/2023;17:33;24/01/2023;17:30;1
2.5;6;10/01/2023;17:48;24/01/2023;17:30;2
2.5;7;10/01/2023;18:02;24/01/2023;17:30;0
2.5;8;10/01/2023;18:16;24/01/2023;17:30;0
2.5;9;10/01/2023;18:39;24/01/2023;17:30;2
2.5;10;10/01/2023;18:57;24/01/2023;17:30;0
1;1;10/01/2023;16:21;24/01/2023;17:30;0
1;2;10/01/2023;16:35;24/01/2023;17:30;0
1;3;10/01/2023;16:48;24/01/2023;17:30;0
1;4;10/01/2023;17:09;24/01/2023;17:30;0
1;5;10/01/2023;17:35;24/01/2023;17:30;1
1;6;10/01/2023;17:50;24/01/2023;17:30;1
1;7;10/01/2023;18:04;24/01/2023;17:30;0
1;8;10/01/2023;18:18;24/01/2023;17:30;0
1;9;10/01/2023;18:40;24/01/2023;17:30;0
1;10;10/01/2023;18:59;24/01/2023;17:30;0
0.5;1;10/01/2023;16:23;24/01/2023;17:30;0
0.5;2;10/01/2023;16:37;24/01/2023;17:30;0
0.5;3;10/01/2023;16:50;24/01/2023;17:30;0
0.5;4;10/01/2023;17:10;24/01/2023;17:30;0
0.5;5;10/01/2023;17:36;24/01/2023;17:30;0
0.5;6;10/01/2023;17:51;24/01/2023;17:30;0
0.5;7;10/01/2023;18:06;24/01/2023;17:30;0
0.5;8;10/01/2023;18:20;24/01/2023;17:30;0
0.5;9;10/01/2023;18:42;24/01/2023;17:30;0
0.5;10;10/01/2023;19:00;24/01/2023;17:30;0
0.1;1;10/01/2023;16:25;24/01/2023;17:30;0
0.1;2;10/01/2023;16:38;24/01/2023;17:30;0
0.1;3;10/01/2023;16:53;24/01/2023;17:30;0
0.1;4;10/01/2023;17:12;24/01/2023;17:30;0
0.1;5;10/01/2023;17:38;24/01/2023;17:30;0
0.1;6;10/01/2023;17:53;24/01/2023;17:30;0
0.1;7;10/01/2023;18:07;24/01/2023;17:30;0
0.1;8;10/01/2023;18:22;24/01/2023;17:30;0
0.1;9;10/01/2023;18:44;24/01/2023;17:30;0
0.1;10;10/01/2023;19:02;24/01/2023;17:30;0
0.02;1;10/01/2023;16:26;24/01/2023;17:30;0
0.02;2;10/01/2023;16:40;24/01/2023;17:30;0
0.02;3;10/01/2023;16:54;24/01/2023;17:30;0
0.02;4;10/01/2023;17:14;24/01/2023;17:30;0
0.02;5;10/01/2023;17:40;24/01/2023;17:30;0
0.02;6;10/01/2023;17:54;24/01/2023;17:30;0
0.02;7;10/01/2023;18:09;24/01/2023;17:30;0
0.02;8;10/01/2023;18:24;24/01/2023;17:30;0
0.02;9;10/01/2023;18:46;24/01/2023;17:30;0
0.02;10;10/01/2023;19:05;24/01/2023;17:30;0
0.004;1;10/01/2023;16:27;24/01/2023;17:30;0
0.004;2;10/01/2023;16:41;24/01/2023;17:30;0
0.004;3;10/01/2023;16:55;24/01/2023;17:30;0
0.004;4;10/01/2023;17:16;24/01/2023;17:30;0
0.004;5;10/01/2023;17:42;24/01/2023;17:30;0
0.004;6;10/01/2023;17:56;24/01/2023;17:30;1
0.004;7;10/01/2023;18:11;24/01/2023;17:30;0
0.004;8;10/01/2023;18:26;24/01/2023;17:30;0
0.004;9;10/01/2023;18:48;24/01/2023;17:30;0
