concentration;id;start_date;start_hour;end_date;end_hour;emergence
0.1;8;10/01/2023;13:53;21/01/2023;11:00;2
0.1;9;10/01/2023;15:06;21/01/2023;11:00;5
0.1;10;10/01/2023;16:08;21/01/2023;11:00;9
0.02;1;10/01/2023;10:54;21/01/2023;11:00;3
0.02;2;10/01/2023;11:11;21/01/2023;11:00;3
0.02;3;10/01/2023;11:27;21/01/2023;11:00;1
0.02;4;10/01/2023;11:46;21/01/2023;11:00;2
0.02;5;10/01/2023;12:02;21/01/2023;11:00;5
0.02;6;10/01/2023;12:58;21/01/2023;11:00;0
0.02;7;10/01/2023;13:18;21/01/2023;11:00;4
0.02;8;10/01/2023;13:55;21/01/2023;11:00;3
0.02;9;10/01/2023;15:09;21/01/2023;11:00;3
0.02;10;10/01/2023;16:10;21/01/2023;11:00;10
0.004;1;10/01/2023;10:56;21/01/2023;11:00;3
0.004;2;10/01/2023;11:13;21/01/2023;11:00;1
0.004;3;10/01/2023;11:29;21/01/2023;11:00;1
0.004;4;10/01/2023;11:48;21/01/2023;11:00;1
0.004;5;10/01/2023;12:04;21/01/2023;11:00;1
0.004;6;10/01/2023;13:00;21/01/2023;11:00;2
0.004;7;10/01/2023;13:20;21/01/2023;11:00;1
0.004;8;10/01/2023;13:58;21/01/2023;11:00;0
0.004;9;10/01/2023;15:10;21/01/2023;11:00;4
0.004;10;10/01/2023;16:11;21/01/2023;11:00;4
0.0008;1;10/01/2023;10:58;21/01/2023;11:00;5
0.0008;2;10/01/2023;11:15;21/01/2023;11:00;7
0.0008;3;10/01/2023;11:31;21/01/2023;11:00;3
0.0008;4;10/01/2023;11:50;21/01/2023;11:00;3
0.0008;5;10/01/2023;12:06;21/01/2023;11:00;4
0.0008;6;10/01/2023;13:02;21/01/2023;11:00;3
0.0008;7;10/01/2023;13:22;21/01/2023;11:00;3
0.0008;8;10/01/2023;14:00;21/01/2023;11:00;2
0.0008;9;10/01/2023;15:13;21/01/2023;11:00;7
0.0008;10;10/01/2023;16:13;21/01/2023;11:00;8
0;1;10/01/2023;10:44;22/01/2023;11:00;0
0;2;10/01/2023;11:00;22/01/2023;11:00;0
0;3;10/01/2023;11:16;22/01/2023;11:00;0
0;4;10/01/2023;11:34;22/01/2023;11:00;0
0;5;10/01/2023;11:52;22/01/2023;11:00;1
0;6;10/01/2023;12:46;22/01/2023;11:00;1
0;7;10/01/2023;13:05;22/01/2023;11:00;0
0;8;10/01/2023;13:26;22/01/2023;11:00;0
0;9;10/01/2023;14:05;22/01/2023;11:00;2
0;10;10/01/2023;15:16;22/01/2023;11:00;0
2.5;1;10/01/2023;10:46;22/01/2023;11:00;2
